Date,12:00 AM,12:15 AM,12:30 AM,12:45 AM,1:00 AM,1:15 AM,1:30 AM,1:45 AM,2:00 AM,2:15 AM,2:30 AM,2:45 AM,3:00 AM,3:15 AM,3:30 AM,3:45 AM,4:00 AM,4:15 AM,4:30 AM,4:45 AM,5:00 AM,5:15 AM,5:30 AM,5:45 AM,6:00 AM,6:15 AM,6:30 AM,6:45 AM,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,9:00 AM,9:15 AM,9:30 AM,9:45 AM, 10:00 AM, 10:15 AM, 10:30 AM, 10:45 AM, 11:00 AM, 11:15 AM, 11:30 AM, 11:45 AM, 12:00 PM, 12:15 PM, 12:30 PM, 12:45 PM, 1:00 PM, 1:15 PM, 1:30 PM, 1:45 PM, 2:00 PM, 2:15 PM, 2:30 PM, 2:45 PM, 3:00 PM, 3:15 PM, 3:30 PM, 3:45 PM, 4:00 PM, 4:15 PM, 4:30 PM, 4:45 PM, 5:00 PM, 5:15 PM, 5:30 PM, 5:45 PM, 6:00 PM, 6:15 PM, 6:30 PM, 6:45 PM, 7:00 PM, 7:15 PM, 7:30 PM, 7:45 PM, 8:00 PM, 8:15 PM, 8:30 PM, 8:45 PM, 9:00 PM, 9:15 PM, 9:30 PM, 9:45 PM, 10:00 PM, 10:15 PM, 10:30 PM, 10:45 PM, 11:00 PM, 11:15 PM, 11:30 PM, 11:45 PM
10/1/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.97288175,31.9457635,47.918645250000004,63.891527,82.28043825,100.66934950000001,119.05826075,137.447172,151.934043,166.42091399999998,180.907785,195.394656,220.76535925,246.13606249999998,271.50676575,296.87746899999996,456.55428924999995,616.2311095,775.90792975,935.58475,967.00828125,998.4318125,1029.85534375,1061.278875,1058.8075625,1056.3362499999998,1053.8649375,1051.393625,1029.848297,1008.302969,986.7576409999999,965.212313,916.71667225,868.2210315,819.72539075,771.22975,705.1581327499999,639.0865155,573.01489825,506.943281,438.64304275,370.3428045,302.04256625,233.74232800000001,175.306746,116.87116400000001,58.43558200000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/2/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.841856,13.683712,20.525568,27.367424,107.07556025,186.7836965,266.49183274999996,346.199969,430.81216425,515.4243595,600.03655475,684.6487500000001,724.30520325,763.9616565,803.61810975,843.274563,885.88684425,928.4991255,971.11140675,1013.723688,1028.50960975,1043.2955315,1058.08145325,1072.867375,1067.00815625,1061.1489375,1055.28971875,1049.4305,1030.46101575,1011.4915315,992.52204725,973.552563,924.6432505,875.733938,826.8246254999999,777.915313,715.0758285,652.2363439999999,589.3968595,526.557375,456.48490225,386.4124295,316.33995674999994,246.267484,184.700613,123.133742,61.56687099999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/3/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31942325,10.6388465,15.95826975,21.277693,39.19727175,57.1168505,75.03642925,92.956008,104.5447795,116.13355100000001,127.72232250000002,139.31109400000003,188.80956275,238.3080315,287.80650025,337.30496899999997,354.8890315,372.47309399999995,390.05715649999996,407.641219,564.62414875,721.6070785,878.59000825,1035.572938,1016.905391,998.237844,979.570297,960.90275,951.04390625,941.1850625,931.3262187500001,921.4673750000001,895.3111875000001,869.155,842.9988125,816.842625,750.60596875,684.3693125,618.13265625,551.896,466.81117974999995,381.7263595,296.64153925000005,211.55671900000002,158.66753925,105.77835950000001,52.88917975000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/4/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52756775,9.0551355,13.582703250000002,18.110271,38.06999825,58.0297255,77.98945275,97.94918,124.67123649999999,151.393293,178.11534949999998,204.837406,209.6226795,214.407953,219.19322649999998,223.9785,207.40330075,190.8281015,174.25290225,157.677703,182.7408475,207.803992,232.8671365,257.930281,242.04774974999998,226.16521849999998,210.28268724999998,194.40015599999998,189.17116775,183.9421795,178.71319125,173.484203,181.221996,188.959789,196.697582,204.435375,200.63302725,196.8306795,193.02833175,189.225984,174.700992,160.176,145.651008,131.126016,98.344512,65.563008,32.781504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/5/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47388675,18.9477735,28.421660250000002,37.895547,68.8868595,99.878172,130.8694845,161.860797,183.22701975,204.5932425,225.95946525,247.325688,351.1803285,455.034969,558.8896095,662.74425,720.4546875,778.165125,835.8755625,893.586,922.74170325,951.8974065,981.05310975,1010.208813,807.8928675,605.576922,403.26097649999997,200.945031,196.44452725,191.94402350000001,187.44351975,182.943016,174.83262150000002,166.722227,158.6118325,150.501438,136.05252175,121.60360550000001,107.15468925,92.70577300000001,78.786319,64.866865,50.947411,37.027957,27.77096775,18.5139785,9.25698925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/6/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0542775000000004,6.108555000000001,9.1628325,12.217110000000002,27.03667425,41.8562385,56.67580275,71.495367,80.9039295,90.31249199999999,99.7210545,109.129617,117.521541,125.913465,134.305389,142.697313,144.61082075000002,146.52432850000002,148.43783625,150.351344,150.6270665,150.902789,151.1785115,151.454234,158.85983950000002,166.265445,173.67105049999998,181.07665599999999,174.32399974999998,167.57134349999998,160.81868724999998,154.06603099999998,142.9994745,131.93291799999997,120.86636149999998,109.79980499999999,124.94742025,140.0950355,155.24265075,170.390266,166.49133225,162.5923985,158.69346474999998,154.79453099999998,116.09589824999998,77.39726549999999,38.69863275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/7/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20413025,8.4082605,12.612390750000001,16.816521,31.993808750000007,47.171096500000004,62.34838425000001,77.52567200000001,100.3903635,123.25505500000001,146.11974650000002,168.984438,180.93016450000002,192.87589100000002,204.8216175,216.767344,201.86147275000002,186.9556015,172.04973024999998,157.143859,153.9571325,150.770406,147.58367950000002,144.39695300000002,201.06616800000003,257.735383,314.404598,371.07381300000003,358.98125825,346.8887035,334.79614875000004,322.703594,306.65500025,290.60640650000005,274.55781275000004,258.50921900000003,239.51328525000002,220.51735150000002,201.52141775,182.525484,140.99543575,99.4653875,57.93533925,16.405291000000002,12.30396825,8.202645500000001,4.101322750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/8/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.828783250000001,9.657566500000001,14.486349750000002,19.315133000000003,39.0081505,58.701168,78.3941855,98.087203,114.38338675,130.6795705,146.97575425000002,163.271938,177.542188,191.812438,206.082688,220.352938,229.71600825000002,239.0790785,248.44214875,257.805219,265.46895325,273.13268750000003,280.79642175000004,288.46015600000004,466.63716400000004,644.8141720000001,822.99118,1001.168188,976.49590675,951.8236254999999,927.15134425,902.479063,863.9542035,825.429344,786.9044845000001,748.379625,685.6812500000001,622.982875,560.2845,497.58612500000004,417.52057425000004,337.45502350000004,257.38947275,177.32392199999998,132.99294149999997,88.66196099999999,44.33098050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/9/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71704325,5.4340865,8.15112975,10.868173,22.315743,33.763313000000004,45.210883,56.658453,68.19225575,79.72605850000001,91.25986125,102.793664,114.45652150000001,126.11937900000001,137.7822365,149.445094,158.8151175,168.185141,177.5551645,186.925188,208.518891,230.112594,251.706297,273.3,458.346797,643.3935939999999,828.4403909999999,1013.487188,995.5348285,977.582469,959.6301095,941.6777500000001,895.5136875000001,849.3496250000001,803.1855625000001,757.0215000000001,692.8557265000001,628.6899530000001,564.5241795,500.358406,423.6119335,346.865461,270.1189885,193.37251600000002,145.029387,96.68625800000001,48.343129000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/10/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.442144499999998,46.884288999999995,70.3264335,93.76857799999999,158.95432425,224.1400705,289.32581675,354.511563,433.56942225,512.6272815,591.6851407500001,670.743,640.0040625,609.265125,578.5261875,547.78725,546.32651575,544.8657814999999,543.4050472499999,541.944313,565.9770942499999,590.0098754999999,614.04265675,638.075438,753.0634534999999,868.051469,983.0394845,1098.0275,1076.3682812499999,1054.7090625,1033.04984375,1011.390625,962.04409375,912.6975625,863.35103125,814.0045,744.167547,674.330594,604.493641,534.656688,454.93743400000005,375.21818,295.498926,215.779672,161.834754,107.889836,53.944918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
